semester,core1,core2,core3,core4,core5
3,Digital Design and Computer Organization,Data Structures,Introduction to Data Science,Web Technologies I,Discrete Mathematics and Logic
4,Linear Algebra and Its Applications,Design and Analysis of Algorithms,Database Management Systems,Microprocessor and Computer Architecture,Theory of Computation
5,Computer Networks,Introduction to Operating Systems,Principles of Programming Languages,NA,NA
6,Compiler Design,Cloud Computing,Machine Learning,NA,NA
7,Object Oriented Modeling and Design,Software Engineering,Web Technologies II,NA,NA
